,ID,Name,Created At,Fav Count,GEO,Re Count,Text
462,9.63112E+17,senorrinhatch,2/12/2018 18:06,0,,5,RT @GOPSenFinance: Chairman @Senorrinhatch’s statement on @POTUS’s FY19 budget. https://t.co/sn91v4zNS5
463,9.63071E+17,senorrinhatch,2/12/2018 15:24,696,,792,"This week we'll be discussing a number of ways to fix our immigration system and find a path forward on #DACA. 

Any serious proposals should include these merit-based reforms members of both parties have called for and supported. #Isquared #utpol  https://t.co/GMUDq5AwfI"
464,9.63067E+17,senorrinhatch,2/12/2018 15:08,0,,38,RT @nick_lindquist: I think I see Senator Hatch https://t.co/be9GT8hJjB
465,9.62097E+17,senorrinhatch,2/9/2018 22:52,0,,5,"RT @KUTV2News: WATCH KUTV at 4: Ellen gives Utah orchestra teacher big surprise 
https://t.co/Vfqg5arXid"
466,9.61959E+17,senorrinhatch,2/9/2018 13:43,161,,43,"NEWS: the funding bill and 10-year Children’s Health Insurance Program extension has been signed into law. #utpol 

https://t.co/sx5WJ8BMNv"
467,9.61954E+17,senorrinhatch,2/9/2018 13:22,0,,19,"RT @senorrinhatch: HATCH and @RonWyden in TIME:

“Extending CHIP for 4 additional years is a worthy goal for a program that has enjoyed suc…"
468,9.61759E+17,senorrinhatch,2/9/2018 0:29,39,,10,Simply amazing. Congrats to @OURrescue and thank you for all the inspiring work you do. #utpol https://t.co/l1SKdKlnyk
469,9.61723E+17,senorrinhatch,2/8/2018 22:06,0,,1,@FarrukhKPitafi Cloud! https://t.co/fitfcS5qiM
470,9.61719E+17,senorrinhatch,2/8/2018 21:50,45,,11,"You might have thought this was a tweet about the pork industry in Utah. 

In fact, it is about the CLOUD Act, which Senator Hatch introduced earlier this week. 

Thanks @RSI! 

https://t.co/NPTdd3VNHu"
471,9.61652E+17,senorrinhatch,2/8/2018 17:23,41,,19,"HATCH and @RonWyden in TIME:

“Extending CHIP for 4 additional years is a worthy goal for a program that has enjoyed such strong support from both parties and such clear success for improving children’s health.”

This budget deal includes that extension. https://t.co/oLqCgYKHcG"
472,9.61629E+17,senorrinhatch,2/8/2018 15:53,0,,10,RT @GOPSenFinance: .@SenOrrinHatch has numerous healthcare priorities included in funding package. More here: https://t.co/W49j1LvBmQ https…
473,9.61627E+17,senorrinhatch,2/8/2018 15:44,54,,14,"As a result of #TaxReform they’re raising starting salaries and providing paid parental leave for their 240,000 employees.

https://t.co/1QETUdmEsn #utpol"
474,9.61615E+17,senorrinhatch,2/8/2018 14:56,0,,35,RT @senorrinhatch: Senator Hatch's proposal would require public colleges and universities to provide clear guidance on their efforts to pr…
475,9.61599E+17,senorrinhatch,2/8/2018 13:52,0,,148,"RT @senorrinhatch: We've heard countless stories of free speech being attacked on college campuses. 

Speakers like Condoleezza Rice and @b…"
476,9.61381E+17,senorrinhatch,2/7/2018 23:28,0,,59,"RT @SenateGOP: “[#TaxReform] is putting more money in consumers’ paychecks.” – Ed Lynn, @BWWings franchise owner in Oklahoma 
https://t.co/…"
477,9.61369E+17,senorrinhatch,2/7/2018 22:41,25,,8,Great to meet with the Kane Community Coalition and Panguitch Prevention Coalition today to hear about their great work on substance abuse and suicide prevention! #utpol https://t.co/pPyV32Mjw0
478,9.6136E+17,senorrinhatch,2/7/2018 22:02,71,,35,"Senator Hatch's proposal would require public colleges and universities to provide clear guidance on their efforts to protect free speech and the free exchange of all ideas. 

https://t.co/zFQf3eBpWI #utpol"
479,9.61351E+17,senorrinhatch,2/7/2018 21:29,307,,148,"We've heard countless stories of free speech being attacked on college campuses. 

Speakers like Condoleezza Rice and @benshapiro have been prevented from speaking as colleges bowed to pressure from those wh disagreed. 

Hatch has a bill to change that.

https://t.co/zFQf3eBpWI"
480,9.61324E+17,senorrinhatch,2/7/2018 19:41,91,,32,Hatch Statement on Rob Porter’s Resignation https://t.co/KULV2475SR https://t.co/2c6xOOfLP4
481,9.61224E+17,senorrinhatch,2/7/2018 13:03,13,,9,@manovak43 @FoxNewsOpinion This is an op-ed.
482,9.61219E+17,senorrinhatch,2/7/2018 12:43,513,,622,Hatch in @FoxNewsOpinion: America needs a merit-based immigration system. #ISquared  https://t.co/GMUDq5AwfI
483,9.6108E+17,senorrinhatch,2/7/2018 3:33,0,,37,"RT @senorrinhatch: As a result of #TaxReform, many Utah families will be rewarded with lower utility bills.

These are real results, for re…"
484,9.61022E+17,senorrinhatch,2/6/2018 23:41,53,,19,"Today Senator Hatch was honored to receive the 2018 G.V. ""Sonny"" Montgomery Eagle Award from the Enlisted Association of the National Guard of the United States for his contributions to the welfare of those who serve in the National Guard! #utpol https://t.co/og4rrdJJXr"
485,9.6102E+17,senorrinhatch,2/6/2018 23:33,0,,5,RT @Fredhum: Thank you @senorrinhatch @ChrisCoons @LindseyGrahamSC @SenWhitehouse for your leadership in introducing the CLOUD Act today ht…
486,9.61016E+17,senorrinhatch,2/6/2018 23:17,23,,10,"Today Prime Minister Theresa May called President @realDonaldTrump and the two discussed the importance of this legislation ""for our collective security."" 

https://t.co/MD3mXtTBqd #utpol https://t.co/Hro3OBKgTR"
487,9.61013E+17,senorrinhatch,2/6/2018 23:07,14,,8,"@ChrisCoons @SenWhitehouse @LindseyGrahamSC @RepDougCollins @RepJeffries In November Hatch met with UK Prime Minister Theresa May to discuss the importance of this legislation, which makes it easier for the United States and our allies to solve crimes. 
"
