,ID,User,Created At,Fav Count,GEO,RE Count,Text
788,986717334684487682,buffster76,2018-04-18 21:25:19,0,,4596,"RT @funder: McConnell slams door on Mueller protection bill: 'We'll not be having this on the floor of the Senate.' Until now, this traitor…"
789,986717333942145024,Myherollie,2018-04-18 21:25:19,0,,44,"RT @QuaintMelissaK: Retweeted Vote them Out (@VoteThemOut20):

RT funder: RETWEET if you want Dems to win another US House seat next week—w…"
790,986717333694570496,Jocy_Torres,2018-04-18 21:25:19,0,,2,"RT @StevenHorsford: $1.52 billion is A LOT of opportunities in #NV04! In Congress, I led on bills creating Tule Springs National Monument a…"
791,986717331618516992,OzzkarbWigwan,2018-04-18 21:25:18,0,,44,"RT @QuaintMelissaK: Retweeted Vote them Out (@VoteThemOut20):

RT funder: RETWEET if you want Dems to win another US House seat next week—w…"
792,986717331421310981,Gaseilloy,2018-04-18 21:25:18,0,,44,"RT @QuaintMelissaK: Retweeted Vote them Out (@VoteThemOut20):

RT funder: RETWEET if you want Dems to win another US House seat next week—w…"
793,986717329454137344,ZilpahShiver,2018-04-18 21:25:18,0,,44,"RT @QuaintMelissaK: Retweeted Vote them Out (@VoteThemOut20):

RT funder: RETWEET if you want Dems to win another US House seat next week—w…"
794,986717327478722562,Blaine_G,2018-04-18 21:25:17,0,,0,"@dcexaminer @TomRtweets Actually, if the Congress wants to act, they should bring back the Independant Counsel. Oth… https://t.co/uKKTPDTv6Y"
795,986717326572769280,ahmdmthr1,2018-04-18 21:25:17,0,,7,"RT @teddy_cat1: Dear Americans, We're in our 4th year of war on #Yemen, the poorest nation in the Middle East. Yemen did nothing to deserve…"
796,986717325859704832,Jujuman2020,2018-04-18 21:25:17,0,,44,"RT @QuaintMelissaK: Retweeted Vote them Out (@VoteThemOut20):

RT funder: RETWEET if you want Dems to win another US House seat next week—w…"
797,986717325419151360,Oteachjohn,2018-04-18 21:25:17,0,,39,"RT @AltUSPressSec: “Congress shall make no law... abridging the freedom of speech, or of the press; or the right of the people peaceably to…"
