,ID,User,Created At,GEO,Fav Count,RE Count,Text,pscore
0,9.38921e+17,,12/7/2017 18:59,,0,0,Appears # FBI & # DOJ will continue to be above laws rest of us must answer to Maybe we should Consider DISBANDING our CORRUPT # CONGRESS & # SENATE? # DNC # DEMS # GOP # CCOT # TCOT # TLOT # PJNET # REPUBLICAN # DEMOCRAT # RINOhttps://twitter.com/TheMarkPantano/status/938919727736422400 â¦,-3.0
1,9.38921e+17,,12/7/2017 18:59,,0,0,This is a big deal. # politics # congress # senatehttps://twitter.com/AP/status/938918368761073664 â¦,1.0
2,9.3892e+17,,12/7/2017 18:56,,5,4,John Lewis has as a # Black Man been Living # Off of # Taxs # Payers for 40 # Years He Has # Done # Nothing on # Congress ! @ Jillibean557 https://twitter.com/SocialClaude/status/938908728010604547 â¦,0.0
3,9.3892e+17,,12/7/2017 18:56,,0,0,Ethics committee better hire more staff.... # DrainTheSwamp # Congress # Senate # SexualHarassment # MeToo,2.0
5,9.3892e+17,,12/7/2017 18:55,,0,0,. @ POTUS # Congress Evil Fakebook aka @ facebook illegally censors quoting scripture and drawing tautological conclusions therefrom because of perturbations of snowflakes on their staff and elsewhere. The devil himself is well pleased. Fish rot from the head downwards.pic.twitter.com/q4wFJMAo1W,-5.0
6,9.3892e+17,,12/7/2017 18:55,,0,0,"@ KimberlyGuilfoy # ChristopherWray didn't give 1 real answer & # WeThePpl know it! He said he wasn't ""familiar"" w/ # PeterStrzok's actions? HE WAS THERE because of # Strzok! Wray DUCKED # Congress til a # ContemptResolution was threatened. Another Swampe",-2.0
7,9.38919e+17,,12/7/2017 18:53,,0,0,"On one side, you have law enforcement, the vast majority of New Yorkers, and common sense. On the other, NY's Republican Members of # Congress doing the # NRA's bidding. http://nyti.ms/2jp2msV cc: @ RepJohnFaso @ LeeZeldin @ RepJohnKatko",0.0
8,9.38919e+17,,12/7/2017 18:53,,0,0,@ greta seems like most of # Congress have too much time on their hands -with all the#sexualharassment claims against them.,2.0
9,9.38919e+17,,12/7/2017 18:53,,0,0,. @ seanhannity @ foxandfriends @ POTUS # Congress # Evangelicals Dr @ RobertJeffress says he has no prob w/ Popery http://tl.gd/no7hmk pic.twitter.com/5wLMKbdDuz,-1.0
10,9.38919e+17,,12/7/2017 18:52,,0,0,"Call # Congress to investigate # SexualAssaultAndHarassment, including # SexualPredator #1 in the White House. http://share.credoaction.com/364524093t?referring_akid=26307.3178188.wzhwAC â¦ @ SenateMajLdr @ SpeakerRyan @ SenateGOP @ HouseGOP @ SenateDems @ HouseDemocrats @ NancyPelosi @ SenSchumer # CallToTask # RespectHer # OurCountry # OurEarth",1.0
11,9.38919e+17,,12/7/2017 18:51,,0,0,"@ realdonaljtrump @ robertmueller @ cnn @ andersoncooper I just published âHas honesty, respectability, and honor escaped our Congressional halls?â https://medium.com/@colinbrucemunrowood/has-honesty-respectability-and-honor-escaped-our-congressional-",4.0
12,9.38919e+17,,12/7/2017 18:51,,0,0,wow would've thunk sexual harassment/assault would cull the herd of # Congress,-1.0
13,9.38919e+17,,12/7/2017 18:51,,0,0,"On @ POTUS watch as # Congress Passes Two-Week Spending Bill, but Shutdown Fears Mount http://www.govexec.com/management/2017/12/house-narrowly-advances-two-week-spending-bill-shutdown-fears-mount/144392/ â¦ via @ govexec",0.0
14,9.38919e+17,,12/7/2017 18:51,,0,0,Will we have a # Congress left at the end of the year??,0.0
15,9.38919e+17,,12/7/2017 18:51,,0,0,Worst thing about # congress # Secularism is its selective and myopic and preferential to a certain # votebank,-2.0
16,9.38919e+17,,12/7/2017 18:50,,0,0,"RT @ ConservDaily A Letter to # Congress: Rein in the DOJ, FBI and intelligence agencies https://goo.gl/fb/VF74Rr",0.0
17,9.38919e+17,,12/7/2017 18:50,,1,0,Umm - please donât ask your employees to carry your child. I mean w.t.f. # Franks # Congress https://twitter.com/kyledcheney/status/938914585352069120 â¦,1.0
18,9.38919e+17,,12/7/2017 18:50,,0,0,Ex-policeman Michael Slager jailed for shooting Walter Scott - http://tinyurl.com/ycghshhs # trump # putin # russia # investigation # transgender # gays # congress # wapo # latimes # nytimes # thehill # nyc # miami # mexico # hawaii # japan # india # france # parisaccord # unitedkingdom # crickpic.twitter.com/K0PRaCsYop,-2.0
19,9.38919e+17,,12/7/2017 18:50,,1,1,Where do you suppose # HillaryClinton is today and what is she doing? Any thoughts? # BillClinton # Congress # sexualharassment # pedophiles # rape # MoneyLaundering,-4.0
20,9.38919e+17,,12/7/2017 18:49,,1,0,Again? I have a good idea! Why donât they ALL retire & quit and we the people will replace all of # Congress # GOP,3.0
21,9.38918e+17,,12/7/2017 18:49,,0,1,"So they avoided a shutdown, huh? # GovernmentShutdown # Congress pic.twitter.com/9q3um2vS6s",-1.0
22,9.38918e+17,,12/7/2017 18:47,,0,0,# Congress # Passes # Bill to # Avoid # Government # Shutdown - https://goo.gl/6ZJYSe - # Financepic.twitter.com/132H5S5A4Z,-1.0
23,9.38918e+17,,12/7/2017 18:45,,0,0,"Don't think this is a partisan issue. I believe most members of # Congress to be bottom feeders who lie, cheat & steal. But, when it comes to allegations of sexual abuse, there is no time limit. And there is a lot of data on why women/men take years (even decades) to speak out.",-11.0
24,9.38917e+17,,12/7/2017 18:45,,0,0,Congress Passes Bill To Avert Shutdown For 2 Weeks http://krwg.org/post/congress-passes-bill-avert-shutdown-2-weeks â¦ # congress # budgetdeal,-2.0
25,9.38917e+17,,12/7/2017 18:45,,0,0,And could have been avoided if # Dems in # Congress had any kind of spine. Their # CollectiveStupidity is stunning! You NEVER give in to # GOP cuz you never get anything in return. # TwoSeats up for gop rigging.https://twitter.com/peterdaou/status/938766997051060224 â¦,3.0
26,9.38917e+17,,12/7/2017 18:44,,0,0,"As southern # California neighborhoods burn to the ground in massive wildfire, # RepublicanTaxPlan in # Congress would eliminate deductions for personal loss caused by fire, earthquake & other natural disasters. # cbsnews",-6.0
27,9.38917e+17,,12/7/2017 18:44,,0,0,...Remembering how # EU â acted â during the # GreeceCrisis by # ECB âPolitical Arbitratorsâ or â Trump Business Story with # Banks â ( Metaphor...) ! â Hostage # Congress until 2018 # MidTerm Election â...!,0.0
28,9.38917e+17,,12/7/2017 18:43,,0,0,". @ SenateMajLdr . @ SpeakerRyan . @ NRSC . @ TheDemocrats Stop adjudicating yourselves and release the names of the perpetrators, not the victims, who used taxpayer dollars as a # ShushFund to silence victims. Constituents have a right to know. # Congress # ShushFund",-9.0
29,9.38917e+17,,12/7/2017 18:43,,0,0,The attack on Pearl Harbor: Unforgettable photos of the bombing - http://tinyurl.com/y98puong # potus # scotus # cake # wapo # media # fakenews # golf # nfl # nba # tennis # futbol # soccer # worldcup # olympics # sk # bromance # trumpputin # movies # film # congress # antifa # whitesupremacy # sf #pic.twitter.com/o8K7MNaJQb,-1.0
